word,frequency
stumbled,12
cod,12
im,12
greasy,12
goat,12
basically,11
advise,11
lights,11
exceptionally,11
improve,11
deeply,11
turn,11
response,11
workers,11
we'd,11
complain,11
knowing,11
distance,11
culture,11
selling,11
ruined,11
overcooked,11
calamari,11
fridge,11
hotels,11
advised,11
hall,11
staffs,11
followed,11
base,11
lunchtime,11
consistent,11
anniversary,11
extras,11
cleared,11
surprisingly,11
held,11
situated,11
post,11
remembered,11
defo,11
read,11
eats,11
ribs,11
safety,11
charming,11
banana,11
lid,11
shot,11
wines,11
sea,11
designed,11
tucked,11
baloci,11
certain,11
total,11
bin,11
caring,11
spoons,11
helen,11
clinic,11
serious,11
question,11
mushrooms,11
decide,11
aesthetic,11
turkish,11
haven't,11
center,11
nachos,11
budget,11
tone,11
overly,11
requests,11
you'll,11
pricing,11
fell,11
assistance,11
floors,11
imagine,11
handy,11
perhaps,11
community,11
equally,11
grateful,11
attentiveness,11
pm,11
ahead,11
toby,11
hoping,11
appalling,11
policy,11
stuck,11
sold,11
speaking,11
pie,11
reasons,11
phoned,11
delay,11
approach,11
coach,11
jacket,11
peak,11
feedback,11
raise,11
cheaper,11
catching,11
shows,11
ourselves,11
theme,11
session,11
cups,11
pubs,11
july,11
receive,11
nero,11
fit,11
sick,10
shift,10
age,10
combination,10
custard,10
act,10
prompt,10
megan,10
lover,10
they're,10
chatty,10
adults,10
bouncers,10
signature,10
aggressive,10
passed,10
dress,10
stepped,10
tandoori,10
mother,10
bothered,10
fillings,10
thick,10
railway,10
spectacular,10
naan,10
pistachio,10
missed,10
deserves,10
disappointment,10
beauty,10
minimum,10
checkout,10
sample,10
create,10
lacked,10
sugar,10
ample,10
thinking,10
tom,10
screens,10
become,10
boy,10
fancy,10
aware,10
charging,10
reserved,10
towards,10
architecture,10
pulled,10
dealt,10
hopefully,10
respect,10
carvery,10
reliable,10
appealing,10
inn,10
appeared,10
reply,10
topped,10
smart,10
cajun,10
study,10
neither,10
bursting,10
tofu,10
stir,10
thursday,10
finishing,10
improved,10
answered,10
ballet,10
pots,10
details,10
plain,10
celebration,10
arms,10
unable,10
coconut,10
raspberry,10
syrup,10
tiramisu,10
loaded,10
disney,10
tired,10
they've,10
joke,10
waiters,10
selfridges,10
alcohol,10
honey,10
timely,10
requirements,10
follow,10
informative,10
rav,10
pot,10
bags,10
mid,10
curries,10
extensive,10
caribbean,10
instantly,10
belly,10
receptionist,10
additional,10
machines,10
disappoints,10
patty,10
filthy,10
showing,10
account,10
cashier,10
campus,10
line,10
meats,10
costs,10
encountered,10
unpleasant,10
strongly,10
opening,10
female,10
depth,10
approachable,10
sourdough,10
meets,10
unprofessional,10
major,9
realise,9
chip,9
leaves,9
organised,9
advance,9
wednesday,9
pepper,9
popcorn,9
reach,9
stores,9
shell,9
shocked,9
property,9
lemon,9
weekends,9
june,9
numerous,9
sweetness,9
suitable,9
milkshakes,9
wont,9
library,9
pleased,9
cook,9
cant,9
employees,9
assist,9
somehow,9
anymore,9
gallery,9
crab,9
law,9
importantly,9
surroundings,9
names,9
request,9
kick,9
ensured,9
deserts,9
unexpected,9
heading,9
wasted,9
shown,9
unwind,9
fuel,9
dined,9
bus,9
premium,9
levels,9
ginger,9
guard,9
jazz,9
china,9
band,9
ozzy,9
sabbath,9
oreo,9
understanding,9
mood,9
michelin,9
voucher,9
salads,9
concept,9
anmol,9
focused,9
luke,9
wash,9
actual,9
stands,9
excuse,9
raised,9
luckily,9
allergies,9
fuss,9
funny,9
clothes,9
final,9
poorly,9
struggle,9
word,9
typical,9
discount,9
lovers,9
words,9
handle,9
hippodrome,9
prior,9
organized,9
keeps,9
sophie,9
fat,9
ways,9
cleaning,9
retail,9
pressure,9
save,9
pastry,9
required,9
nicest,9
ive,9
xx,9
cooking,9
elio,9
stale,9
whatever,9
american,9
bath,9
minor,9
regret,9
uni,9
allergy,9
previously,9
tend,9
smashed,9
magic,9
pepsi,9
pudding,9
tomatoes,9
shoppers,9
whenever,9
send,9
undercooked,9
underwhelming,9
attending,9
mistakes,9
hits,9
comforting,9
pleasantly,9
piping,9
loves,9
helps,9
stall,9
picky,9
starting,9
odd,9
warmly,9
con,9
nandos,8
rings,8
doubt,8
pour,8
falafel,8
unnecessary,8
stations,8
sale,8
confused,8
unlike,8
bottles,8
smiling,8
pairing,8
changing,8
mediocre,8
buns,8
allow,8
queues,8
colour,8
persian,8
pink,8
katsu,8
dr,8
drunk,8
deliver,8
salted,8
singing,8
delighted,8
dogs,8
valued,8
premier,8
tv,8
secure,8
criticism,8
hospital,8
behavior,8
tip,8
pricier,8
jerk,8
sunny,8
manage,8
relatively,8
cone,8
additionally,8
driver,8
almond,8
practically,8
wet,8
adam,8
twist,8
wonder,8
eyes,8
sport,8
locals,8
bella,8
benches,8
shut,8
overwhelming,8
roasted,8
cards,8
cutlery,8
e,8
mint,8
football,8
textures,8
flight,8
wall,8
regulars,8
firstly,8
refills,8
tho,8
fill,8
chris,8
parts,8
smoothly,8
activities,8
entering,8
appointment,8
awkward,8
isn,8
teas,8
they'd,8
tickets,8
ramp,8
locations,8
dedication,8
wifi,8
updated,8
smoke,8
smoothie,8
bringing,8
specially,8
third,8
taxi,8
row,8
medicine,8
ash,8
hold,8
bottom,8
created,8
women,8
types,8
supposed,8
ten,8
